"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"247",2,0,2,3,0,1,0,0,3,3
"248",0,1,0,1,0,0,0,2,1,2
"249",1,0,0,1,1,1,0,0,0,4
"250",0,1,0,1,0,0,0,2,1,2
"251",0,0,0,2,0,2,0,0,2,1
"252",1,0,0,2,0,1,0,0,2,2
"253",0,1,0,1,0,0,0,2,1,2
"254",1,0,1,1,0,0,0,2,1,2
"255",1,1,1,2,0,1,2,3,2,2
"256",1,1,0,2,1,0,1,0,2,1
"257",0,1,0,1,0,0,0,2,1,2
"258",0,0,0,0,0,0,0,2,0,4
"259",0,2,0,2,0,0,0,0,2,0
"260",1,1,0,1,0,0,0,0,1,2
"261",1,0,0,1,1,1,0,1,1,1
"262",1,0,0,1,1,1,0,0,0,4
"263",0,1,2,1,0,0,0,1,2,1
"264",4,2,1,3,1,1,2,1,4,4
"265",0,0,0,0,0,0,0,1,0,1
"266",2,1,1,2,0,2,0,3,2,3
"267",0,1,0,0,0,0,0,0,1,3
"268",0,0,0,0,0,0,0,1,0,1
"269",0,1,0,0,1,0,1,1,1,2
"270",2,0,0,2,0,0,0,0,4,0
"271",2,0,1,3,1,2,0,3,4,4
"272",0,1,2,1,0,0,0,1,2,1
"273",2,0,0,1,0,1,0,0,2,0
"274",4,1,2,3,0,1,0,1,5,0
"275",0,1,0,0,0,0,0,1,0,1
"276",0,0,0,1,0,0,0,0,1,0
"277",0,0,0,0,0,0,0,0,1,0
"278",1,0,0,1,1,1,0,0,0,4
"279",1,0,0,1,1,1,0,0,0,4
"280",1,0,2,1,0,0,0,1,4,1
"281",1,0,0,1,1,1,0,3,1,1
"282",0,3,0,1,2,2,1,2,3,3
"283",1,0,0,1,0,1,0,2,1,1
"284",1,0,0,1,0,1,0,0,1,0
"285",1,0,0,1,1,1,0,0,0,4
"286",0,1,0,1,0,0,0,1,0,0
"287",1,0,0,1,0,1,1,0,1,0
"288",1,0,1,1,0,0,0,2,1,2
"289",0,0,0,0,0,0,0,0,0,0
"290",0,0,0,0,0,0,0,2,0,3
"291",0,0,1,0,0,0,0,0,1,0
"292",1,0,0,0,0,0,0,1,0,0
"293",1,1,1,3,1,2,1,1,3,3
"294",0,0,0,0,0,0,0,0,0,1
"295",0,1,2,1,0,0,0,1,2,1
"296",1,0,0,1,1,1,0,0,0,4
"297",1,0,0,1,0,1,0,0,1,1
"298",0,1,0,1,1,0,0,4,0,4
"299",1,0,1,1,0,0,0,2,1,2
"300",1,1,0,1,1,1,0,3,1,5
"301",1,0,1,1,0,0,0,2,1,2
